Geoid,Sec_neigh
170311605022,"IRVING PARK,AVONDALE"
170312003002,"BELMONT CRAIGIN,HERMOSA"
170311407011,"NORTH PARK,ALBANY PARK"
170311406023,"NORTH PARK,ALBANY PARK"
170311907011,"BELMONT CRAGIN,HERMOSA"
170316812004,ENGLEWOOD
170310401002,LINCOLN SQUARE
170318311002,"IRVING PARK,AVONDALE"
170315806002,"BRIGHTON PARK,MCKINLEY PARK"
170318344001,WOODLAWN
170312512003,AUSTIN
170317108003,AUBURN GRESHAM
170315805013,"BRIGHTON PARK,MCKINLEY PARK"
170311402001,"NORTH PARK,ALBANY PARK"
170310402013,LINCOLN SQUARE
170312213001,LOGAN SQUARE
170310706002,LINCOLN PARK
170312838001,"LITTLE ITALY, UIC"
170314105001,HYDE PARK
170312414001,"WICKER PARK,WEST TOWN"
170312522025,AUSTIN
170310203022,WEST RIDGE
170313902001,"KENWOOD,OAKLAND"
170318360001,BRONZEVILLE
170310819001,RIVER NORTH
170311911003,"BELMONT CRAGIN,HERMOSA"
170311105012,JEFFERSON PARK
170314005002,WASHINGTON PARK
170313109003,LOWER WEST SIDE
170316911002,"SOUTH SHORE, GRAND CROSSING"
170310404025,LINCOLN SQUARE
170318407002,LITTLE VILLAGE
170313906001,"KENWOOD,OAKLAND"
170316407003,MIDWAY AIRPORT
170312520001,AUSTIN
170311907012,"BELMONT CRAGIN,HERMOSA"
170312519003,AUSTIN
170314305003,"SOUTH SHORE, GRAND CROSSING"
170315804002,"BRIGHTON PARK,MCKINLEY PARK"
170310313004,UPTOWN
170312205002,LOGAN SQUARE
170311603003,"IRVING PARK,AVONDALE"
170310103004,ROGERS PARK
170314302004,"SOUTH SHORE, GRAND CROSSING"
170312214001,LOGAN SQUARE
170311603002,"IRVING PARK,AVONDALE"
170312514002,AUSTIN
170311906021,"BELMONT CRAGIN,HERMOSA"
170314313012,"SOUTH SHORE, GRAND CROSSING"
170312515003,AUSTIN
170310321001,UPTOWN
170310317001,UPTOWN
170314108002,HYDE PARK
170312515001,AUSTIN
170310305001,EDGEWATER
170312214003,LOGAN SQUARE
170310406003,LINCOLN SQUARE
170313012003,LITTLE VILLAGE
170314106001,HYDE PARK
170312512002,AUSTIN
170314106002,HYDE PARK
170312107001,"IRVING PARK,AVONDALE"
170312507001,AUSTIN
170310628003,LAKE VIEW
170316810002,ENGLEWOOD
170311508001,PORTAGE PARK
170318421003,HUMBOLDT PARK
170316709001,ENGLEWOOD
170311911004,"BELMONT CRAGIN,HERMOSA"
170318421006,HUMBOLDT PARK
170318421004,HUMBOLDT PARK
170316007001,BRIDGEPORT
170311503003,PORTAGE PARK
170318420001,BRONZEVILLE
170312511001,AUSTIN
170313802002,BRONZEVILLE
170312511004,AUSTIN
170311508005,PORTAGE PARK
170316403001,MIDWAY AIRPORT
170313017013,LITTLE VILLAGE
170312606001,GARFIELD PARK
170312511002,AUSTIN
170312607001,GARFIELD PARK
170317104001,AUBURN GRESHAM
170318429002,"LITTLE ITALY, UIC"
170312434001,"WICKER PARK,WEST TOWN"
170316606002,"MARQUETTE PARK,GAGE PARK"
170315805021,"BRIGHTON PARK,MCKINLEY PARK"
170316712001,ENGLEWOOD
170314401023,"CHATHAM,BURNSIDE"
170316606003,"MARQUETTE PARK,GAGE PARK"
170311911001,"BELMONT CRAGIN,HERMOSA"
170313017021,LITTLE VILLAGE
170317102002,AUBURN GRESHAM
170312315004,HUMBOLDT PARK
170317102004,AUBURN GRESHAM
170312925003,NORTH LAWNDALE
170318350002,"MARQUETTE PARK,GAGE PARK"
170312503002,AUSTIN
170312507003,AUSTIN
170317102003,AUBURN GRESHAM
170312315001,HUMBOLDT PARK
170312511003,AUSTIN
170310206021,WEST RIDGE
170311508002,PORTAGE PARK
170316203004,"ARCHER HEIGHTS,WEST ELSDON"
170316915001,"SOUTH SHORE, GRAND CROSSING"
170315806003,"BRIGHTON PARK,MCKINLEY PARK"
170310206024,WEST RIDGE
170311908004,"BELMONT CRAGIN,HERMOSA"
170318318003,"NORTH PARK,ALBANY PARK"
170316914001,"SOUTH SHORE, GRAND CROSSING"
170314205002,WOODLAWN
170315806004,"BRIGHTON PARK,MCKINLEY PARK"
170311906011,"BELMONT CRAGIN,HERMOSA"
170311908002,"BELMONT CRAGIN,HERMOSA"
170318318002,"NORTH PARK,ALBANY PARK"
170316608001,"MARQUETTE PARK,GAGE PARK"
170312312003,HUMBOLDT PARK
170311608001,"IRVING PARK,AVONDALE"
170315805011,"BRIGHTON PARK,MCKINLEY PARK"
170318318001,"NORTH PARK,ALBANY PARK"
170311607002,"IRVING PARK,AVONDALE"
170318387003,NORTH LAWNDALE
170315906001,"BRIGHTON PARK,MCKINLEY PARK"
170315805022,"BRIGHTON PARK,MCKINLEY PARK"
170311908005,"BELMONT CRAGIN,HERMOSA"
170316812001,ENGLEWOOD
170316909002,"SOUTH SHORE, GRAND CROSSING"
170316606004,"MARQUETTE PARK,GAGE PARK"
170312312002,HUMBOLDT PARK
170311908001,"BELMONT CRAGIN,HERMOSA"
170316606001,"MARQUETTE PARK,GAGE PARK"
170311607005,"IRVING PARK,AVONDALE"
170318350004,"MARQUETTE PARK,GAGE PARK"
170316608004,"MARQUETTE PARK,GAGE PARK"
170312312001,HUMBOLDT PARK
170312512001,AUSTIN
170312306005,HUMBOLDT PARK
170312312004,HUMBOLDT PARK
170313106002,LOWER WEST SIDE
170314313022,"SOUTH SHORE, GRAND CROSSING"
170312203002,LOGAN SQUARE
170316603024,"MARQUETTE PARK,GAGE PARK"
170311508004,PORTAGE PARK
170312306002,HUMBOLDT PARK
170311303004,"NORTH PARK,ALBANY PARK"
170312309003,HUMBOLDT PARK
170314205001,WOODLAWN
170312513004,AUSTIN
170310206013,WEST RIDGE
