"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","99515","AK","""Anchorage, AK""",7694,132,16.9811320754717,102,6.92307692307692,8.89664804469274
"Zip","99516","AK","""Anchorage, AK""",8307,132,11.4285714285714,106,3.07692307692308,8.89664804469274
"Zip","99517","AK","""Anchorage, AK""",8361,132,19.3548387096774,100.5,8.46153846153846,8.89664804469274
"Zip","99518","AK","""Anchorage, AK""",9853,132,12.0481927710843,117,4.61538461538461,8.89664804469274
"Zip","99567","AK","""Anchorage, AK""",10197,132,10.9756097560976,111,2.30769230769231,8.89664804469274
"Zip","48197","MI","""Ann Arbor, MI""",1528,147,11.1702127659574,72,5.83333333333333,0.516759776536313
"Zip","48103","MI","""Ann Arbor, MI""",1814,147,5.51948051948052,69,1.66666666666667,0.516759776536313
"Zip","48198","MI","""Ann Arbor, MI""",3267,147,3.46820809248555,72,0.833333333333333,0.516759776536313
"Zip","48104","MI","""Ann Arbor, MI""",3294,147,12.4087591240876,84,9.16666666666667,0.516759776536313
"Zip","48105","MI","""Ann Arbor, MI""",3797,147,6.15384615384615,72.5,4.16666666666667,0.516759776536313
"Zip","48108","MI","""Ann Arbor, MI""",5758,147,10.6382978723404,64,2.5,0.516759776536313
"Zip","48176","MI","""Ann Arbor, MI""",7368,147,10.9243697478992,84,6.66666666666667,0.516759776536313
"Zip","48130","MI","""Ann Arbor, MI""",8874,147,6.16438356164384,119,8.33333333333333,0.516759776536313
"Zip","48189","MI","""Ann Arbor, MI""",9024,147,4.8780487804878,97,5,0.516759776536313
"Zip","48118","MI","""Ann Arbor, MI""",9109,147,4.21052631578947,78.5,3.33333333333333,0.516759776536313
"Zip","48160","MI","""Ann Arbor, MI""",9460,147,10.8695652173913,88.5,7.5,0.516759776536313
"Zip","48158","MI","""Ann Arbor, MI""",10413,147,15.2173913043478,102,10,0.516759776536313
"Zip","28806","NC","""Asheville, NC""",2832,117,12.8755364806867,82,4.4,4.80446927374302
"Zip","28803","NC","""Asheville, NC""",3901,117,10.6617647058824,83.5,1.6,4.80446927374302
"Zip","28792","NC","""Asheville, NC""",4277,117,13.3004926108374,84,6.8,4.80446927374302
"Zip","28715","NC","""Asheville, NC""",5595,117,8.9041095890411,90,1.2,4.80446927374302
"Zip","28786","NC","""Asheville, NC""",6196,117,7.84313725490196,129,6,4.80446927374302
"Zip","28787","NC","""Asheville, NC""",6442,117,11.1111111111111,99,3.2,4.80446927374302
"Zip","28804","NC","""Asheville, NC""",6463,117,13.2420091324201,106,8,4.80446927374302
"Zip","28704","NC","""Asheville, NC""",6512,117,11.2299465240642,98,3.6,4.80446927374302
"Zip","28739","NC","""Asheville, NC""",6799,117,12.4497991967871,106,7.6,4.80446927374302
"Zip","28805","NC","""Asheville, NC""",7233,117,10.7438016528926,93,2,4.80446927374302
"Zip","28716","NC","""Asheville, NC""",7683,117,7.47663551401869,104,0.8,4.80446927374302
"Zip","28732","NC","""Asheville, NC""",7805,117,14.3884892086331,65,5.2,4.80446927374302
"Zip","28801","NC","""Asheville, NC""",8096,117,7.54716981132075,76,0.4,4.80446927374302
"Zip","28711","NC","""Asheville, NC""",8494,117,13.9344262295082,108.5,9.6,4.80446927374302
"Zip","28791","NC","""Asheville, NC""",8692,117,13.6054421768707,80,5.6,4.80446927374302
"Zip","28748","NC","""Asheville, NC""",9059,117,7.59493670886076,119,4.8,4.80446927374302
"Zip","28753","NC","""Asheville, NC""",9234,117,5.88235294117647,139.5,2.4,4.80446927374302
"Zip","28721","NC","""Asheville, NC""",9414,117,6.31578947368421,149,4,4.80446927374302
"Zip","28778","NC","""Asheville, NC""",9615,117,7.5,111.5,2.8,4.80446927374302
"Zip","28731","NC","""Asheville, NC""",9714,117,11.7647058823529,111,7.2,4.80446927374302
"Zip","28730","NC","""Asheville, NC""",9739,117,11.5384615384615,142,9.2,4.80446927374302
"Zip","28754","NC","""Asheville, NC""",10044,117,6.4,197,6.4,4.80446927374302
"Zip","28785","NC","""Asheville, NC""",10080,117,12.0689655172414,172,10,4.80446927374302
"Zip","28759","NC","""Asheville, NC""",10403,117,12.0481927710843,116,8.8,4.80446927374302
"Zip","28751","NC","""Asheville, NC""",10551,117,10.2409638554217,174,8.4,4.80446927374302
"Zip","30349","GA","""Atlanta-Sandy Springs-Roswell, GA""",1292,9,6.69144981412639,82,2.5974025974026,2.61173184357542
"Zip","30044","GA","""Atlanta-Sandy Springs-Roswell, GA""",1353,9,8.0168776371308,67,1.42857142857143,2.61173184357542
"Zip","30043","GA","""Atlanta-Sandy Springs-Roswell, GA""",1379,9,13.9344262295082,63,4.28571428571429,2.61173184357542
"Zip","30096","GA","""Atlanta-Sandy Springs-Roswell, GA""",1451,9,10.6463878326996,57,1.62337662337662,2.61173184357542
"Zip","30024","GA","""Atlanta-Sandy Springs-Roswell, GA""",1505,9,11.5007012622721,80,5.97402597402597,2.61173184357542
"Zip","30281","GA","""Atlanta-Sandy Springs-Roswell, GA""",1570,9,10.1736972704715,86,5.90909090909091,2.61173184357542
"Zip","30040","GA","""Atlanta-Sandy Springs-Roswell, GA""",1731,9,12.1278941565601,80,6.55844155844156,2.61173184357542
"Zip","30188","GA","""Atlanta-Sandy Springs-Roswell, GA""",1732,9,12.39092495637,65,4.15584415584416,2.61173184357542
"Zip","30318","GA","""Atlanta-Sandy Springs-Roswell, GA""",1794,9,8.7248322147651,63,1.03896103896104,2.61173184357542
