c_id,zri_allhomes,zripersqft_allhomes,year,rv_id
72,1388,0.8515,2015,875
72,1493,0.551666667,2016,876
72,1493,0.910833333,2016,877
72,1493,0.702666667,2016,878
72,1493,1.020666667,2016,879
72,1506,1.064333333,2017,880
72,1506,0.916333333,2017,881
72,1506,0.547166667,2017,882
72,1506,0.715666667,2017,883
74,814,0.594,2010,884
74,847,0.5985,2011,885
74,877,0.603,2012,886
74,927,0.615833333,2013,887
74,931,0.623666667,2014,888
74,954,0.6325,2015,889
74,972,0.6385,2016,890
74,979,0.633166667,2017,891
75,1570,1.329666667,2012,892
75,1618,1.352666667,2013,893
75,1677,1.409666667,2014,894
75,1756,1.4985,2015,895
75,1809,1.562833333,2016,896
75,1772,1.595166667,2017,897
76,1303,0.917333333,2016,898
76,1286,0.921166667,2017,899
76,1286,0.627833333,2017,900
76,1192,0.814,2010,901
76,1192,0.697,2010,902
76,1122,0.676833333,2011,903
76,1122,0.7885,2011,904
76,1049,0.769833333,2012,905
76,1049,0.5635,2012,906
76,1078,0.584,2013,907
76,1078,0.794166667,2013,908
76,1156,0.609166667,2014,909
76,1156,0.834,2014,910
